Aargang,Sektor,AU,DTU,ITU,KU,RUC,SDU,AAU
2007," 3,532 ", 792 ," 1,152 ", 42 ," 1,546 ", 129 , 628 , 946 
2008," 4,825 ", 714 ," 1,224 ", 46 ," 1,254 ", 174 , 554 , 859 
2009," 5,591 ", 830 ," 1,265 ", 123 ," 1,574 ", 217 , 592 , 990 
2010," 6,478 ", 985 ," 1,297 ", 199 ," 2,008 ", 290 , 756 , 943 
2011," 7,548 "," 1,117 "," 1,464 ", 212 ," 2,236 ", 307 , 903 ," 1,309 "
2012," 8,551 "," 1,728 "," 1,527 ", 217 ," 1,983 ", 334 ," 1,138 "," 1,624 "
2013," 9,915 "," 1,890 "," 2,252 ", 204 ," 2,154 ", 360 ," 1,241 "," 1,814 "
2014," 9,732 "," 1,774 "," 2,173 ", 239 ," 1,934 ", 343 ," 1,392 "," 1,877 "
2015," 9,899 "," 1,866 "," 2,191 ", 215 ," 1,930 ", 363 ," 1,447 "," 1,887 "
2016,"10,130","1,810","2,300",273,"1,897",407,"1,483","1,960"
2017,"10,339","1,974",2407,333,"1,893",395,"1,392","1,945"
2018,"10,435","2,042","2,568",341,"1,782",382,"1,465","1,855"
2019,"10,285","1,822",2647,364,1863,340,"1,564","1,685"
2020,"11,337",2120,2772,431,2098,406,1601,1909
