Aargang,Sektor,AU,KU,SDU,AAU
2007," 1,395 ", 493 , 902 , 451 , 96 
2008," 1,752 ", 495 , 865 , 392 ,0 
2009," 2,077 ", 545 , 973 , 493 , 66 
2010," 2,265 ", 587 , 789 , 601 , 288 
2011," 2,446 ", 677 , 809 , 612 , 348 
2012," 2,789 ", 759 ," 1,011 ", 659 , 360 
2013," 2,917 ", 773 ," 1,070 ", 668 , 406 
2014," 3,129 ", 757 ," 1,242 ", 724 , 406 
2015," 3,095 ", 749 ," 1,259 ", 693 , 394 
2016,"3,137",763,"1,240",723,411
2017,"3,157",756,"1,257",766,378
2018,"3,189",776,"1,210",800,403
2019,"3,284",798,1261,813,412
2020,"3,211",816,"1,305",810,280
